location,continent,epoch,images_found,tile_images,error
Singapore,Asia,2014-2015,161,2867,
Singapore,Asia,2016-2017,325,2867,
Singapore,Asia,2018,44,2867,
Singapore,Asia,2019,2336,2867,
Singapore,Asia,2020,0,2867,
Singapore,Asia,2021,0,2867,
Singapore,Asia,2022,0,2867,
Singapore,Asia,2023,0,2867,
Singapore,Asia,2024,0,2867,
Singapore,Asia,2025,0,2867,
Singapore,Asia,2026,0,2867,
Manila,Asia,2014-2015,0,133856,
Manila,Asia,2016-2017,2487,133856,
Manila,Asia,2018,1960,133856,
Manila,Asia,2019,6890,133856,
Manila,Asia,2020,6342,133856,
Manila,Asia,2021,4205,133856,
Manila,Asia,2022,62937,133856,
Manila,Asia,2023,0,133856,
Manila,Asia,2024,48331,133856,
Manila,Asia,2025,588,133856,
Manila,Asia,2026,92,133856,
Seoul,Asia,2014-2015,0,5964,
Seoul,Asia,2016-2017,278,5964,
Seoul,Asia,2018,958,5964,
Seoul,Asia,2019,0,5964,
Seoul,Asia,2020,30,5964,
Seoul,Asia,2021,89,5964,
Seoul,Asia,2022,310,5964,
Seoul,Asia,2023,1493,5964,
Seoul,Asia,2024,215,5964,
Seoul,Asia,2025,2551,5964,
Seoul,Asia,2026,20,5964,
Tokyo,Asia,2014-2015,167,104415,
Tokyo,Asia,2016-2017,17908,104415,
Tokyo,Asia,2018,11777,104415,
Tokyo,Asia,2019,23851,104415,
Tokyo,Asia,2020,9804,104415,
Tokyo,Asia,2021,15149,104415,
Tokyo,Asia,2022,3641,104415,
Tokyo,Asia,2023,7887,104415,
Tokyo,Asia,2024,2988,104415,
Tokyo,Asia,2025,6423,104415,
Tokyo,Asia,2026,4815,104415,
Sydney,Oceania,2014-2015,2552,80832,
Sydney,Oceania,2016-2017,4166,80832,
Sydney,Oceania,2018,3801,80832,
Sydney,Oceania,2019,55176,80832,
Sydney,Oceania,2020,1281,80832,
Sydney,Oceania,2021,936,80832,
Sydney,Oceania,2022,871,80832,
Sydney,Oceania,2023,1780,80832,
Sydney,Oceania,2024,2301,80832,
Sydney,Oceania,2025,2217,80832,
Sydney,Oceania,2026,5676,80832,
Auckland,Oceania,2014-2015,215,40984,
Auckland,Oceania,2016-2017,4365,40984,
Auckland,Oceania,2018,753,40984,
Auckland,Oceania,2019,441,40984,
Auckland,Oceania,2020,1536,40984,
Auckland,Oceania,2021,790,40984,
Auckland,Oceania,2022,2654,40984,
Auckland,Oceania,2023,6933,40984,
Auckland,Oceania,2024,2970,40984,
Auckland,Oceania,2025,11747,40984,
Auckland,Oceania,2026,8570,40984,
