location,continent,epoch,lon,lat,image_id,captured_at,is_pano,width,height,n_detections,n_classes,n_surface,n_marking,n_object,n_traffic_sign,n_other,has_surface,detections_created_min,detections_created_max,decode_failures,sky_above_road,top_classes,error
São Paulo,South America,2018,-46.6333,-23.5505,601041837521834,2018-06-19,False,,,2,1,0,0,2,0,0,False,2021-05-22,2021-05-22,0,,object--sign--advertisement,
São Paulo,South America,2018,-46.6333,-23.5505,943216359764567,2018-10-28,False,,,0,0,0,0,0,0,0,False,,,0,,,
São Paulo,South America,2019,-46.6333,-23.5505,3783899881719350,2019-06-12,False,,,3,2,0,0,3,0,0,False,2021-05-22,2021-05-22,0,,object--manhole;object--cctv-camera,
São Paulo,South America,2019,-46.6333,-23.5505,1185594865215468,2019-05-26,False,,,1,1,0,0,1,0,0,False,2021-05-22,2021-05-22,0,,object--support--utility-pole,
São Paulo,South America,2019,-46.6333,-23.5505,312026603878102,2019-06-19,False,,,0,0,0,0,0,0,0,False,,,0,,,
São Paulo,South America,2020,-46.6333,-23.5505,135978018576212,2020-08-05,False,,,4,3,0,0,3,1,0,False,2021-05-21,2021-05-22,0,,object--support--utility-pole;information--general-directions--g1;object--street-light,
São Paulo,South America,2020,-46.6333,-23.5505,862881557909074,2020-03-10,False,,,0,0,0,0,0,0,0,False,,,0,,,
São Paulo,South America,2020,-46.6333,-23.5505,285515349898708,2020-08-29,False,,,0,0,0,0,0,0,0,False,,,0,,,
São Paulo,South America,2021,-46.6333,-23.5505,1141686959575312,2021-03-13,False,,,0,0,0,0,0,0,0,False,,,0,,,
São Paulo,South America,2021,-46.6333,-23.5505,317068039939407,2021-03-16,False,,,0,0,0,0,0,0,0,False,,,0,,,
São Paulo,South America,2021,-46.6333,-23.5505,916407645804969,2021-03-13,False,,,0,0,0,0,0,0,0,False,,,0,,,
São Paulo,South America,2023,-46.6333,-23.5505,726632229218226,2023-06-08,False,,,262,17,204,0,57,1,0,True,2023-06-09,2023-06-09,0,True,void--unlabeled;construction--structure--building;object--wire-group;nature--sky;void--static;object--street-light;object--support--pole;construction--flat--parking,
São Paulo,South America,2023,-46.6333,-23.5505,791757875790370,2023-06-08,False,,,396,28,329,11,56,0,0,True,2023-06-09,2023-06-09,0,True,void--unlabeled;construction--structure--building;nature--vegetation;object--support--pole;construction--flat--road;nature--sky;marking--continuous--solid;construction--barrier--curb,
São Paulo,South America,2023,-46.6333,-23.5505,835270354629034,2023-06-08,False,,,415,28,330,32,52,1,0,True,2023-06-09,2023-06-09,0,True,void--unlabeled;construction--structure--building;nature--vegetation;construction--flat--road;object--support--pole;marking--continuous--solid;construction--barrier--curb;construction--barrier--fence,
São Paulo,South America,2024,-46.6333,-23.5505,1446125196007126,2024-10-06,False,,,339,25,279,1,59,0,0,True,2024-10-06,2024-10-06,0,True,void--unlabeled;construction--structure--building;construction--barrier--curb;nature--vegetation;object--wire-group;object--support--pole;construction--flat--road;construction--flat--sidewalk,
São Paulo,South America,2024,-46.6333,-23.5505,427318963572857,2024-03-13,True,,,478,23,406,0,72,0,0,True,2024-05-02,2024-05-02,0,True,void--unlabeled;nature--vegetation;nature--water;construction--structure--building;construction--flat--pedestrian-area;void--ground;nature--terrain;object--support--pole,
São Paulo,South America,2024,-46.6333,-23.5505,427077553249227,2024-03-13,True,,,525,24,448,16,61,0,0,True,2024-05-02,2024-05-02,0,True,void--unlabeled;void--static;construction--flat--pedestrian-area;nature--terrain;construction--structure--building;nature--vegetation;object--support--pole;construction--barrier--wall,
São Paulo,South America,2025,-46.6333,-23.5505,1596942931000021,2025-04-17,False,,,471,31,377,27,65,2,0,True,2025-04-21,2025-04-21,0,True,void--unlabeled;void--static;construction--flat--road;construction--structure--building;construction--structure--bridge;nature--vegetation;object--wire-group;object--support--pole,
São Paulo,South America,2025,-46.6333,-23.5505,584292234198114,2025-04-23,True,,,429,26,367,2,59,1,0,True,2025-05-23,2025-05-23,0,True,void--unlabeled;construction--structure--building;nature--vegetation;construction--barrier--curb;construction--flat--sidewalk;nature--sky;construction--barrier--wall;object--vehicle--car,
São Paulo,South America,2025,-46.6333,-23.5505,1675227049723622,2025-01-10,False,,,346,26,324,4,18,0,0,True,2025-01-13,2025-01-13,0,True,void--unlabeled;void--static;nature--vegetation;construction--flat--pedestrian-area;construction--flat--road;void--ground;construction--flat--sidewalk;construction--barrier--fence,
São Paulo,South America,2026,-46.6333,-23.5505,3445684135597247,2026-06-21,False,,,245,24,200,11,34,0,0,True,2026-06-21,2026-06-21,0,True,void--unlabeled;nature--vegetation;construction--structure--building;object--vehicle--car;construction--barrier--fence;nature--sky;marking--continuous--dashed;object--support--pole,
São Paulo,South America,2026,-46.6333,-23.5505,1477869297145099,2026-05-15,False,,,110,13,105,0,5,0,0,True,2026-05-15,2026-05-15,0,True,void--unlabeled;construction--structure--building;nature--vegetation;construction--flat--sidewalk;nature--sky;construction--barrier--curb;construction--flat--road;construction--barrier--wall,
São Paulo,South America,2026,-46.6333,-23.5505,2054309265225260,2026-08-18,True,,,323,9,323,0,0,0,0,True,2026-08-19,2026-08-19,0,True,void--unlabeled;construction--barrier--fence;construction--structure--bridge;nature--terrain;construction--flat--road;nature--vegetation;nature--sky;construction--structure--building,
Buenos Aires,South America,2014-2015,-58.3816,-34.6037,1627083310815397,2014-11-07,False,,,5,5,0,1,2,1,1,False,2021-05-19,2021-05-22,0,,general--traffic-sign--g1;regulatory--yield--g1;marking--discrete--crosswalk-zebra;object--trash-can;object--sign--advertisement,
Buenos Aires,South America,2014-2015,-58.3816,-34.6037,1187629678374442,2014-11-07,False,,,6,3,0,0,6,0,0,False,2021-05-22,2021-05-22,0,,object--support--pole;object--trash-can;object--street-light,
Buenos Aires,South America,2014-2015,-58.3816,-34.6037,496708348151380,2014-11-07,False,,,0,0,0,0,0,0,0,False,,,0,,,
Buenos Aires,South America,2016-2017,-58.3816,-34.6037,930406311042253,2016-11-13,False,,,0,0,0,0,0,0,0,False,,,0,,,
Buenos Aires,South America,2016-2017,-58.3816,-34.6037,287209453124527,2016-06-09,False,,,7,2,0,0,7,0,0,False,2021-05-22,2021-05-23,0,,object--sign--store;object--support--pole,
Buenos Aires,South America,2016-2017,-58.3816,-34.6037,761746781166109,2016-11-13,False,,,6,5,0,0,5,1,0,False,2021-05-21,2021-05-22,0,,object--traffic-light--general-upright;regulatory--no-right-turn--g1;object--sign--store;object--support--pole;object--sign--advertisement,
